studyhours,attendance,resources,extracurricular,motivation,internet,gender,age,learningstyle,onlinecourses,discussions,assignmentcompletion,examscore,edutech,stresslevel,finalgrade
19,64,Some,No,Low,Yes,Male,19,Auditory,8,Often,59,40,No,Medium,Excellent
19,64,Some,No,Low,Yes,Male,23,Kinesthetic,16,Rarely,90,66,No,Medium,Good
19,64,Some,No,Low,Yes,Male,28,Visual,19,Rarely,67,99,Yes,Medium,Fail
19,64,Some,Yes,Low,Yes,Male,19,Auditory,8,Often,59,40,No,Medium,Excellent
19,64,Some,Yes,Low,Yes,Male,23,Kinesthetic,16,Rarely,90,66,No,Medium,Good
19,64,Some,Yes,Low,Yes,Male,28,Visual,19,Rarely,67,99,Yes,Medium,Fail
19,64,Some,Yes,Medium,Yes,Male,19,Auditory,8,Often,59,40,No,Medium,Excellent
19,64,Some,Yes,Medium,Yes,Male,23,Kinesthetic,16,Rarely,90,66,No,Medium,Good
19,64,Some,Yes,Medium,Yes,Male,28,Visual,19,Rarely,67,99,Yes,Medium,Fail
19,64,Many,No,Medium,Yes,Male,19,Auditory,8,Often,59,40,No,Medium,Excellent
19,64,Many,No,Medium,Yes,Male,23,Kinesthetic,16,Rarely,90,66,No,Medium,Good
19,64,Many,No,Medium,Yes,Male,28,Visual,19,Rarely,67,99,Yes,Medium,Fail
24,98,Some,Yes,Medium,Yes,Female,29,Visual,3,Rarely,65,46,Yes,High,Excellent
24,98,Some,Yes,Medium,Yes,Female,27,Visual,0,Often,71,83,Yes,Low,Average
24,98,Some,Yes,Medium,Yes,Female,25,Visual,5,Often,61,95,Yes,Low,Fail
24,98,Some,No,High,Yes,Female,29,Visual,3,Rarely,65,46,Yes,High,Excellent
24,98,Some,No,High,Yes,Female,27,Visual,0,Often,71,83,Yes,Low,Average
24,98,Some,No,High,Yes,Female,25,Visual,5,Often,61,95,Yes,Low,Fail
24,98,Some,No,Medium,Yes,Female,29,Visual,3,Rarely,65,46,Yes,High,Excellent
24,98,Some,No,Medium,Yes,Female,27,Visual,0,Often,71,83,Yes,Low,Average
24,98,Some,No,Medium,Yes,Female,25,Visual,5,Often,61,95,Yes,Low,Fail
24,98,Some,Yes,High,Yes,Female,29,Visual,3,Rarely,65,46,Yes,High,Excellent
24,98,Some,Yes,High,Yes,Female,27,Visual,0,Often,71,83,Yes,Low,Average
24,98,Some,Yes,High,Yes,Female,25,Visual,5,Often,61,95,Yes,Low,Fail
24,98,Some,No,Low,No,Female,29,Visual,3,Rarely,65,46,Yes,High,Excellent
24,98,Some,No,Low,No,Female,27,Visual,0,Often,71,83,Yes,Low,Average
24,98,Some,No,Low,No,Female,25,Visual,5,Often,61,95,Yes,Low,Fail
29,89,Some,Yes,Medium,Yes,Female,20,Visual,17,Often,75,54,Yes,High,Excellent
29,89,Some,Yes,Medium,Yes,Female,23,Auditory,4,Often,59,42,Yes,High,Excellent
29,89,Some,Yes,Medium,Yes,Female,23,Visual,1,Rarely,96,62,Yes,High,Good
29,89,Some,Yes,Low,Yes,Female,20,Visual,17,Often,75,54,Yes,High,Excellent
29,89,Some,Yes,Low,Yes,Female,23,Auditory,4,Often,59,42,Yes,High,Excellent
29,89,Some,Yes,Low,Yes,Female,23,Visual,1,Rarely,96,62,Yes,High,Good
19,92,Some,Yes,Medium,Yes,Male,19,Kinesthetic,12,Often,63,40,Yes,High,Excellent
19,92,Some,Yes,Medium,Yes,Male,26,Auditory,3,Rarely,86,94,Yes,High,Fail
19,92,Many,No,Medium,Yes,Male,19,Kinesthetic,12,Often,63,40,Yes,High,Excellent
19,92,Many,No,Medium,Yes,Male,26,Auditory,3,Rarely,86,94,Yes,High,Fail
19,92,Many,Yes,Medium,Yes,Male,19,Kinesthetic,12,Often,63,40,Yes,High,Excellent
19,92,Many,Yes,Medium,Yes,Male,26,Auditory,3,Rarely,86,94,Yes,High,Fail
19,92,Some,No,High,Yes,Male,19,Kinesthetic,12,Often,63,40,Yes,High,Excellent
19,92,Some,No,High,Yes,Male,26,Auditory,3,Rarely,86,94,Yes,High,Fail
29,84,Some,Yes,Low,Yes,Female,21,Auditory,10,Often,57,48,Yes,High,Excellent
29,84,Some,Yes,Low,Yes,Female,28,Auditory,14,Rarely,74,60,Yes,Low,Good
29,84,Some,Yes,Medium,Yes,Female,21,Auditory,10,Often,57,48,Yes,High,Excellent
